sys_info,item,subitem,instances_per_session,sessions_with_occurrence
WINNT,bookmarksBarEnabled,True,0.5477,0.5477
WINNT,bookmarksBarEnabled,False,0.4523,0.4523
WINNT,addonToolbars,0,0.9289,0.9289
WINNT,addonToolbars,1,0.059,0.059
WINNT,addonToolbars,3,0.0045,0.0045
WINNT,addonToolbars,2,0.0045,0.0045
WINNT,addonToolbars,5,0.003,0.003
WINNT,features_kept,social-share-button,1.0,1.0
WINNT,features_kept,menubar-items,1.0,1.0
WINNT,features_kept,tabbrowser-tabs,1.0,1.0
WINNT,features_kept,add-ons-button,1.0,1.0
WINNT,features_kept,tabs-closebutton,1.0,1.0
WINNT,features_kept,webrtc-status-button,1.0,1.0
WINNT,features_kept,alltabs-button,1.0,1.0
WINNT,features_kept,urlbar-container,1.0,1.0
WINNT,features_kept,personal-bookmarks,0.9985,0.9985
WINNT,features_kept,edit-controls,0.9879,0.9879
WINNT,features_kept,new-tab-button,0.9879,0.9879
WINNT,features_kept,print-button,0.9849,0.9849
WINNT,features_kept,history-panelmenu,0.9849,0.9849
WINNT,features_kept,find-button,0.9849,0.9849
WINNT,features_kept,zoom-controls,0.9803,0.9803
WINNT,features_kept,preferences-button,0.9728,0.9728
WINNT,features_kept,new-window-button,0.9728,0.9728
WINNT,features_kept,fullscreen-button,0.9713,0.9713
WINNT,features_kept,save-page-button,0.9713,0.9713
WINNT,features_kept,search-container,0.9697,0.9697
WINNT,features_kept,developer-button,0.9667,0.9667
WINNT,features_kept,privatebrowsing-button,0.9652,0.9652
WINNT,features_kept,home-button,0.9561,0.9561
WINNT,features_kept,downloads-button,0.9289,0.9289
WINNT,features_kept,bookmarks-menu-button,0.9228,0.9228
WINNT,features_kept,switch-to-metro-button,0.239,0.239
WINNT,features_kept,characterencoding-button,0.0272,0.0272
WINNT,customize,move,0.0197,0.003
WINNT,customize,start,0.003,0.0015
WINNT,customize,add,0.0015,0.0015
WINNT,customize,remove,0.0015,0.0015
WINNT,duration_bucket,__DEFAULT__,481.4366,0.0197
WINNT,duration_bucket,bucket_UITour|australis-tour-aurora-29.0a2|inactive|10m,54.7641,0.003
WINNT,menuBarEnabled,False,0.6157,0.6157
WINNT,menuBarEnabled,True,0.3843,0.3843
WINNT,sizemode,maximized,0.9168,0.9168
WINNT,sizemode,normal,0.0787,0.0787
WINNT,sizemode,fullscreen,0.0045,0.0045
WINNT,titleBarEnabled,False,0.9622,0.9622
WINNT,titleBarEnabled,True,0.0378,0.0378
WINNT,features_removed,downloads-button,0.0424,0.0424
WINNT,features_removed,bookmarks-menu-button,0.0333,0.0333
WINNT,features_removed,search-container,0.0303,0.0303
WINNT,features_removed,home-button,0.0242,0.0242
WINNT,features_removed,developer-button,0.0212,0.0212
WINNT,features_removed,fullscreen-button,0.0166,0.0166
WINNT,features_removed,privatebrowsing-button,0.0166,0.0166
WINNT,features_removed,save-page-button,0.0166,0.0166
WINNT,features_removed,find-button,0.0151,0.0151
WINNT,features_removed,switch-to-metro-button,0.0061,0.0061
WINNT,features_removed,print-button,0.003,0.003
WINNT,features_removed,new-tab-button,0.0015,0.0015
WINNT,features_removed,new-window-button,0.0015,0.0015
WINNT,features_removed,personal-bookmarks,0.0015,0.0015
WINNT,features_removed,history-panelmenu,0.0015,0.0015
